ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
406,62,52,Location 62 - Location 7,1,1,7,210230.462787775613833
407,33,53,Location 33 - Location 7,1,1,7,213970.457558664085809
408,37,54,Location 37 - Location 7,1,1,7,215794.744441984134028
409,34,55,Location 34 - Location 7,1,1,7,215923.707141504419269
410,35,56,Location 35 - Location 7,1,1,7,215923.707141504419269
411,36,57,Location 36 - Location 7,1,1,7,215923.707141504419269
412,38,58,Location 38 - Location 7,1,1,7,228541.380990749894409
413,61,59,Location 61 - Location 7,1,1,7,228927.956950729363598
414,8,1,Location 8 - Location 8,1,1,8,0.000000000000000
415,7,2,Location 7 - Location 8,1,1,8,75.988569136296775
416,57,3,Location 57 - Location 8,2,2,8,734.927426186963658
417,43,4,Location 43 - Location 8,1,2,8,2380.181533268697422
418,17,5,Location 17 - Location 8,1,1,8,16061.023766950007484
419,18,6,Location 18 - Location 8,1,1,8,16061.023766950007484
420,41,7,Location 41 - Location 8,2,1,8,42535.996906410931842
421,39,8,Location 39 - Location 8,2,1,8,42582.067428778078465
422,40,9,Location 40 - Location 8,2,1,8,42582.067428778078465
423,25,10,Location 25 - Location 8,1,2,8,43160.139605047581426
424,23,11,Location 23 - Location 8,1,1,8,43195.285825664337608
425,24,12,Location 24 - Location 8,1,1,8,43195.285825664337608
426,26,13,Location 26 - Location 8,1,1,8,43244.120346143972711
427,42,14,Location 42 - Location 8,2,1,8,43244.693894645257387
428,20,15,Location 20 - Location 8,1,2,8,44377.555426946681109
429,31,16,Location 31 - Location 8,2,1,8,47154.652225489706325
430,32,17,Location 32 - Location 8,2,1,8,47155.520220163496560
431,1,18,Location 1 - Location 8,1,2,8,49876.568216838604712
432,46,19,Location 46 - Location 8,2,1,8,56745.959880617432646
433,47,20,Location 47 - Location 8,2,1,8,56745.959880617432646
434,48,21,Location 48 - Location 8,2,1,8,56745.959880617432646
435,21,22,Location 21 - Location 8,1,2,8,56937.657153873631614
436,22,23,Location 22 - Location 8,1,2,8,56937.657153873631614
437,27,24,Location 27 - Location 8,2,1,8,68647.276433698963956
438,28,25,Location 28 - Location 8,2,1,8,72054.546369595205761
439,29,26,Location 29 - Location 8,2,1,8,72054.546369595205761
440,12,27,Location 12 - Location 8,1,2,8,75047.368795435701031
441,13,28,Location 13 - Location 8,1,2,8,75061.939215918959235
442,53,29,Location 53 - Location 8,2,1,8,75935.363624325909768
443,52,30,Location 52 - Location 8,2,2,8,75936.965966467396356
444,54,31,Location 54 - Location 8,2,1,8,75943.295197897547041
445,2,32,Location 2 - Location 8,2,1,8,76155.855811930901837
446,3,33,Location 3 - Location 8,2,1,8,76177.343014126658090
447,4,34,Location 4 - Location 8,2,2,8,76224.242755903760553
448,5,35,Location 5 - Location 8,2,2,8,76376.354768413904822
449,6,36,Location 6 - Location 8,2,2,8,76482.409950553948875
450,11,37,Location 11 - Location 8,1,2,8,82385.862954362775781
451,9,38,Location 9 - Location 8,1,1,8,82391.561947147434694
452,10,39,Location 10 - Location 8,1,1,8,82391.561947147434694
453,44,40,Location 44 - Location 8,2,1,8,90970.767625166379730
