Site	PH2015_01D	PH2015_01U	PH2015_02D	PH2015_02U	PH2015_03D	PH2015_03U	PH2015_04D	PH2015_04U	PH2015_05S	PH2015_06S	PH2015_07D	PH2015_07U	PH2015_08D	PH2015_08U	PH2015_09S	PH2015_10S	PH2015_11S	PH2015_12D	PH2015_12U	PH2015_13D	PH2015_13U	PH2015_14S	PH2017_01_SCD_O_A	PH2017_02_FOX_O_A	PH2017_03_ELD_O_A	PH2017_04_SCI_O_A	PH2017_05_CCC_O_A	PH2017_06_SFM_O_A	PH2017_07_MST_O_A	PH2017_08_TRC_O_A	PH2017_09_SFU_O_A	PH2017_10_PVI_O_A	PH2017_11_PCY_U_A	PH2017_12_PCY_D_A	PH2017_13_LAR_U_A	PH2017_14_LAR_D_A	PH2017_15_JOR_U_A	PH2017_16_JOR_D_A	PH2017_17_BER_D_A	PH2017_18_LLB_O_A	PH2017_19_SFW_U_A	PH2017_20_SFW_D_A	PH2017_24_DOB_U_A	PH2017_25_DOB_D_A	PH2017_26_ELK_O_A	PH2017_27_LUM_O_A	PH2017_28_MFU_U_A	PH2017_29_MFU_D_A	PH2017_30_WIL_O_A	PH2017_31_RDM_U_A	PH2017_32_RDM_D_A	PH2017_33_LGB_O_A	PH2017_34_RAT_O_A	PH2017_35_SFW_U_B	PH2017_36_ELK_O_B	PH2017_37_MFU_D_B	PH2017_38_RDM_U_B	PH2017_39_LGB_O_B	PH2017_40_RAT_O_B
PH2015_08U	102513.57465237557	102528.14237988937	75935.36362432594	75943.29519789758	76376.35476841393	76482.40995055396	76177.34301412667	76224.24275590379	68647.27643369896	47155.520220163504	42535.99690641094	43244.69389464526	75.98856913629675	0	215870.7330111206	214046.44612780056	82385.86295436279	75047.3687954357	75061.93921591896	43160.139605047625	43244.120346144024	44377.55542694672	75936.96596646743	99481.89874138379	102558.56652230791	104544.04750907021	76155.85581193092	117482.00609063853	228617.36955988634	229003.94551986584	734.9274261869637	2380.1815332686974	42582.06742877808	42582.06742877808	43195.28582566438	43195.28582566438	56937.65715387367	56937.65715387367	49876.568216838656	130694.42001455199	99400.06621858147	99400.06621858147	82391.56194714745	82391.56194714745	16061.02376695001	47154.65222548972	215999.6957106409	215999.6957106409	210306.4513569121	56745.959880617425	56745.959880617425	72054.5463695952	90970.76762516642	99400.06621858147	16061.02376695001	215999.6957106409	56745.959880617425	72054.5463695952	90970.76762516642
PH2015_09S	318384.30766349606	318398.87539100985	291806.09663544636	291814.028209018	292247.08777953434	292353.1429616744	292048.0760252471	292094.9757670242	284518.0094448194	263026.253231284	258406.72991753145	259115.42690576575	215794.74444198413	215870.73301112044	0	1824.2868833200473	154038.43073840396	146699.9365794768	146714.50699996008	186134.0181620345	186217.9989031309	187351.43398393362	291807.69897758786	315352.6317525043	318429.2995334284	320414.7805201907	292026.58882305137	333352.7391017589	118152.17352976777	118538.74948974724	216605.6604373074	213490.55147785178	258452.8004398986	258452.8004398986	186169.16438265127	186169.16438265127	199911.53571086057	199911.53571086057	192850.4467738255	273668.29857153876	315270.79922970204	315270.79922970204	154044.12973118862	154044.12973118862	199809.7092441705	263025.3852366102	128.9626995202845	128.9626995202845	7035.755631022892	272616.6928917378	272616.6928917378	287925.2793807157	306841.50063628703	315270.79922970204	199809.7092441705	128.9626995202845	272616.6928917378	287925.2793807157	306841.50063628703
PH2015_10S	316560.02078017604	316574.5885076898	289981.80975212634	289989.741325698	290422.8008962143	290528.8560783544	290223.7891419271	290270.6888837042	282693.7225614994	261201.96634796396	256582.4430342114	257291.1400224457	213970.4575586641	214046.4461278004	1824.2868833200473	0	152214.1438550839	144875.64969615676	144890.22011664003	184309.73127871446	184393.71201981086	185527.14710061357	289983.41209426784	313528.3448691843	316605.0126501084	318590.4936368707	290202.30193973135	331528.4522184389	116327.8866464477	116714.46260642717	214781.37355398736	211666.26459453173	256628.51355657855	256628.51355657855	184344.87749933123	184344.87749933123	198087.24882754052	198087.24882754052	191026.15989050546	271844.01168821874	313446.512346382	313446.512346382	152219.84284786857	152219.84284786857	197985.42236085044	261201.09835329017	1953.2495828403319	1953.2495828403319	5211.468747702845	270792.4060084178	270792.4060084178	286100.99249739567	305017.213752967	313446.512346382	197985.42236085044	1953.2495828403319	270792.4060084178	286100.99249739567	305017.213752967
PH2015_11S	184899.43760673841	184914.0053342522	158321.22657868871	158329.15815226035	158762.2177227767	158868.27290491678	158563.20596848946	158610.10571026657	151033.1393880617	129541.38317452632	124921.85986077375	125630.55684900808	82309.87438522647	82385.86295436278	154038.43073840387	152214.1438550838	0	7338.494158927078	7323.923738443817	52649.14810527683	52733.12884637322	53866.56392717593	158322.82892083022	181867.76169574668	184944.42947667075	186929.91046343307	158541.71876629372	199867.8690450014	166785.06728716957	167171.64324714907	83120.79038054973	80005.6814210941	124967.93038314089	124967.93038314089	52684.29432589358	52684.29432589358	66426.6656541029	66426.6656541029	59365.57671706785	140183.42851478118	181785.92917294434	181785.92917294434	5.698992784665932	5.698992784665932	66324.8391874128	129540.51517985253	154167.39343792415	154167.39343792415	148474.14908419532	139131.82283498024	139131.82283498024	154440.40932395804	173356.63057952933	181785.92917294434	66324.8391874128	154167.39343792415	139131.82283498024	154440.40932395804	173356.63057952933
PH2015_12D	177560.94344781133	177575.5111753251	150982.73241976163	150990.66399333326	151423.7235638496	151529.7787459897	151224.71180956237	151271.61155133948	143694.64522913462	122202.88901559924	117583.36570184668	118292.062690081	74971.3802262994	75047.3687954357	146699.93657947678	144875.6496961567	7338.4941589270775	0	14.570420483261747	45310.653946349754	45394.634687446145	46528.06976824885	150984.33476190313	174529.2675368196	177605.93531774366	179591.41630450598	151203.22460736663	192529.3748860743	159446.57312824248	159833.14908822198	75782.29622162266	72667.18726216702	117629.43622421382	117629.43622421382	45345.8001669665	45345.8001669665	59088.17149517581	59088.17149517581	52027.08255814078	132844.9343558541	174447.43501401725	174447.43501401725	7344.193151711744	7344.193151711744	58986.345028485724	122202.02102092546	146828.89927899707	146828.89927899707	141135.65492526823	131793.32867605315	131793.32867605315	147101.91516503095	166018.13642060224	174447.43501401725	58986.345028485724	146828.89927899707	131793.32867605315	147101.91516503095	166018.13642060224
PH2015_12U	177575.5138682946	177590.08159580838	150997.3028402449	151005.23441381654	151438.29398433288	151544.34916647297	151239.28223004565	151286.18197182275	143709.2156496179	122217.4594360825	117597.93612232993	118306.63311056426	74985.95064678266	75061.93921591896	146714.50699996005	144890.22011663998	7323.923738443816	14.57042048326182	0	45325.22436683301	45409.2051079294	46542.64018873211	150998.9051823864	174543.83795730287	177620.50573822693	179605.98672498926	151217.7950278499	192543.94530655758	159461.14354872575	159847.71950870525	75796.86664210592	72681.75768265028	117644.00664469707	117644.00664469707	45360.37058744976	45360.37058744976	59102.74191565907	59102.74191565907	52041.652978624035	132859.50477633736	174462.00543450052	174462.00543450052	7329.622731228482	7329.622731228482	59000.91544896898	122216.59144140872	146843.46969948034	146843.46969948034	141150.2253457515	131807.89909653642	131807.89909653642	147116.48558551422	166032.7068410855	174462.00543450052	59000.91544896898	146843.46969948034	131807.89909653642	147116.48558551422	166032.7068410855
PH2015_13D	145673.71425742313	145688.28198493694	119095.50322937356	119103.4348029452	119536.49437346155	119642.54955560158	119337.48261917429	119384.38236095141	111807.41603874658	90315.65982521114	85696.13651145858	86404.8334996929	43084.15103591129	43160.13960504758	186134.01816203463	184309.73127871458	52649.14810527681	45310.653946349725	45325.22436683299	0	83.98074109639387	1386.5397684307181	119097.10557151504	142642.0383464314	145718.7061273555	147704.18711411778	119315.99541697853	160642.14569568614	198880.65471080036	199267.23067077986	43895.06703123454	40779.958071778885	85742.20703382572	85742.20703382572	35.14622061675285	35.14622061675285	13946.64149535767	13946.64149535767	6885.552558322646	87703.40435603599	142560.20582362908	142560.20582362908	52654.84709806147	52654.84709806147	27099.11583809759	90314.79183053736	186262.9808615549	186262.9808615549	180569.7365078261	99906.099485665065	99906.099485665065	115214.68597464282	134130.90723021404	142560.20582362908	27099.11583809759	186262.9808615549	99906.099485665065	115214.68597464282	134130.90723021404
PH2015_13U	145757.69499851952	145772.26272603334	119179.48397046996	119187.41554404159	119620.47511455795	119726.53029669798	119421.46336027069	119468.3631020478	111891.39677984298	90399.64056630754	85780.11725255498	86488.8142407893	43168.13177700768	43244.12034614397	186217.99890313103	184393.71201981098	52733.1288463732	45394.634687446116	45409.20510792938	83.98074109639387	0	1470.520509527112	119181.08631261144	142726.0190875278	145802.68686845188	147788.16785521418	119399.97615807493	160726.12643678254	198964.63545189676	199351.21141187625	43979.04777233093	40863.938812875276	85826.18777492212	85826.18777492212	48.83452047964102	48.83452047964102	14030.622236454063	14030.622236454063	6969.53329941904	87787.38509713238	142644.18656472547	142644.18656472547	52738.827839157864	52738.827839157864	27183.096579193985	90398.77257163376	186346.9616026513	186346.9616026513	180653.7172489225	99990.08022676146	99990.08022676146	115298.66671573922	134214.88797131044	142644.18656472547	27183.096579193985	186346.9616026513	99990.08022676146	115298.66671573922	134214.88797131044
PH2015_14S	146891.13007932223	146905.69780683605	120312.91905127265	120320.85062484429	120753.91019536066	120859.96537750069	120554.8984410734	120601.7981828505	113024.83186064567	91533.07564711024	86913.55233335769	87622.24932159201	44301.56685781039	44377.55542694668	187351.43398393373	185527.14710061369	53866.56392717591	46528.069768248824	46542.64018873209	1386.5397684307181	1470.5205095271122	0	120314.52139341415	143859.4541683305	146936.1219492546	148921.6029360169	120533.41123887763	161859.56151758524	200098.07053269946	200484.64649267896	45112.48285313364	41997.373893677985	86959.62285572483	86959.62285572483	1421.6859890474711	1421.6859890474711	12560.10172692695	12560.10172692695	5499.012789891928	86316.86458760526	143777.62164552818	143777.62164552818	53872.26291996057	53872.26291996057	28316.53165999669	91532.20765243645	187480.39668345402	187480.39668345402	181787.1523297252	101123.51530756417	101123.51530756417	116432.10179654192	135348.32305211315	143777.62164552818	28316.53165999669	187480.39668345402	101123.51530756417	116432.10179654192	135348.32305211315
PH2017_01_SCD_O_A	26576.608685908122	26591.176413421927	1.602342141487729	6.329231430147013	439.3888019465046	545.4439840865439	240.37704765925002	287.276789436359	7289.6895327684415	28781.44574630391	33400.969060056465	32692.272071822146	76012.9545356037	75936.9659664674	291807.69897758827	289983.4120942682	158322.8289208302	150984.3347619031	150998.90518238634	119097.10557151499	119181.08631261138	120314.52139341408	0	23544.932774916353	26621.600555840476	28607.08154260277	218.889845463499	41545.04012417113	304554.3355263539	304940.9114863334	75202.03854028045	78317.14749973612	33354.89853768932	33354.89853768932	119132.25179213175	119132.25179213175	132874.62312034104	132874.62312034104	125813.53418330601	206631.3859810195	23463.100252114033	23463.100252114033	158328.52791361485	158328.52791361485	91997.98973341742	28782.313740977697	291936.66167710855	291936.66167710855	286243.4173233797	20319.831332295005	20319.831332295005	3882.4195968721942	15033.801658698974	23463.100252114033	91997.98973341742	291936.66167710855	20319.831332295005	3882.4195968721942	15033.801658698974
PH2017_02_FOX_O_A	3153.0662348766705	3167.6339623904737	23546.535117057843	23538.603543486206	23669.83389866985	23775.889080809888	23470.822144382597	23517.721886159707	30834.622307684796	52326.37852122026	56945.90183497282	56237.204846738496	99557.88731052006	99481.89874138376	315352.6317525046	313528.34486918454	181867.76169574654	174529.26753681945	174543.8379573027	142642.03834643133	142726.01908752773	143859.4541683304	23544.932774916357	0	3198.0581048090235	5183.539091571317	23449.33494218684	18121.49767313967	328099.26830127026	328485.84426124976	98746.97131519682	101862.08027465249	56899.831312605675	56899.831312605675	142677.1845670481	142677.1845670481	156419.5558952574	156419.5558952574	149358.4669582224	230176.31875593585	81.83252280232026	81.83252280232026	181873.4606885312	181873.4606885312	115542.92250833378	52327.24651589405	315481.5944520249	315481.5944520249	309788.35009829607	43864.764107211355	43864.764107211355	27427.352371788547	24489.824945878318	81.83252280232026	115542.92250833378	315481.5944520249	43864.764107211355	27427.352371788547	24489.824945878318
PH2017_03_ELD_O_A	44.99186993235277	30.424142418549792	26623.20289798197	26615.271324410332	26746.501679593977	26852.556861734014	26547.489925306723	26594.389667083833	33911.29008860892	55403.04630214438	60022.569615896944	59313.87262766262	102634.55509144418	102558.56652230788	318429.29953342874	316605.01265010866	184944.42947667066	177605.93531774357	177620.5057382268	145718.70612735546	145802.68686845186	146936.12194925454	26621.600555840483	3198.0581048090235	0	2326.990363335444	26526.002723110967	15264.948944903797	331175.9360821944	331562.5120421739	101823.63909612094	104938.74805557661	59976.4990935298	59976.4990935298	145753.85234797222	145753.85234797222	159496.22367618151	159496.22367618151	152435.1347391465	233252.98653685997	3158.500303726447	3158.500303726447	184950.12846945532	184950.12846945532	118619.5902892579	55403.91429681817	318558.262232949	318558.262232949	312865.0178792202	46941.43188813548	46941.43188813548	30504.020152712674	27566.492726802444	3158.500303726447	118619.5902892579	318558.262232949	46941.43188813548	30504.020152712674	27566.492726802444
PH2017_04_SCI_O_A	2281.998493403091	2296.5662209168936	28608.683884744263	28600.752311172626	28731.98266635627	28838.037848496308	28532.970912069017	28579.870653846127	35896.771075371216	57388.52728890668	62008.05060265924	61299.353614424916	104620.03607820648	104544.04750907018	320414.780520191	318590.49363687093	186929.91046343296	179591.41630450587	179605.9867249891	147704.18711411775	147788.16785521415	148921.60293601683	28607.081542602777	5183.539091571317	2326.990363335444	0	28511.48370987326	12937.958581568353	333161.41706895665	333547.99302893615	103809.12008288324	106924.2290423389	61961.980080292094	61961.980080292094	147739.33333473452	147739.33333473452	161481.7046629438	161481.7046629438	154420.6157259088	235238.46752362227	5143.98129048874	5143.98129048874	186935.60945621761	186935.60945621761	120605.0712760202	57389.39528358047	320543.7432197113	320543.7432197113	314850.49886598246	48926.912874897775	48926.912874897775	32489.501139474967	29551.973713564737	5143.98129048874	120605.0712760202	320543.7432197113	48926.912874897775	32489.501139474967	29551.973713564737
